Date,Country/Region,Confirmed,Death,Recovered,Day,Active Cases,Likely Cases 1pct,Likely Cases 1.8pct,Likely Cases 3.5pct,Death Rate,Death Change Rate,Recovery Change Rate,Confirmed Change Rate
2020-02-13,Thailand,33.0,0.0,12.0,9,21.0,0.0,0.0,0.0,0.0,,0.19999999999999996,0.0
2020-02-14,China,66358.0,1521.0,7977.0,23,56860.0,152100.0,273780.0,532350.0,0.023,0.11102994886778661,0.2830947402284061,0.10790550129393095
2020-02-14,Cruise Ship,218.0,0.0,0.0,7,218.0,0.0,0.0,0.0,0.0,,,0.24571428571428577
2020-02-14,Japan,29.0,1.0,9.0,13,19.0,100.0,180.0,350.0,0.034,0.0,0.0,0.03571428571428581
2020-02-14,"Korea, South",28.0,0.0,7.0,8,21.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-14,Singapore,67.0,0.0,17.0,10,50.0,0.0,0.0,0.0,0.0,,0.1333333333333333,0.15517241379310343
2020-02-14,Thailand,33.0,0.0,12.0,10,21.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-15,China,68413.0,1663.0,9298.0,24,57452.0,166300.0,299340.0,582050.0,0.024,0.09335963182117024,0.16560110317161847,0.030968383616142736
2020-02-15,Cruise Ship,285.0,0.0,0.0,8,285.0,0.0,0.0,0.0,0.0,,,0.30733944954128445
2020-02-15,Japan,43.0,1.0,12.0,14,30.0,100.0,180.0,350.0,0.023,0.0,0.33333333333333326,0.48275862068965525
2020-02-15,"Korea, South",28.0,0.0,9.0,9,19.0,0.0,0.0,0.0,0.0,,0.2857142857142858,0.0
2020-02-15,Malaysia,22.0,0.0,7.0,0,15.0,0.0,0.0,0.0,0.0,,,
2020-02-15,Singapore,72.0,0.0,18.0,11,54.0,0.0,0.0,0.0,0.0,,0.05882352941176472,0.07462686567164178
2020-02-15,Thailand,33.0,0.0,12.0,11,21.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-16,China,70513.0,1766.0,10755.0,25,57992.0,176600.0,317880.0,618100.0,0.025,0.06193625977149719,0.15670036567003653,0.030695920366012208
2020-02-16,Cruise Ship,355.0,0.0,0.0,9,355.0,0.0,0.0,0.0,0.0,,,0.2456140350877194
2020-02-16,Japan,59.0,1.0,12.0,15,46.0,100.0,180.0,350.0,0.017,0.0,0.0,0.37209302325581395
2020-02-16,"Korea, South",29.0,0.0,9.0,10,20.0,0.0,0.0,0.0,0.0,,0.0,0.03571428571428581
2020-02-16,Malaysia,22.0,0.0,7.0,1,15.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-16,Singapore,75.0,0.0,18.0,12,57.0,0.0,0.0,0.0,0.0,,0.0,0.04166666666666674
2020-02-16,Taiwan*,20.0,1.0,2.0,0,17.0,100.0,180.0,350.0,0.05,,,
2020-02-16,Thailand,34.0,0.0,14.0,12,20.0,0.0,0.0,0.0,0.0,,0.16666666666666674,0.030303030303030276
2020-02-17,China,72434.0,1864.0,12462.0,26,58108.0,186400.0,335520.0,652400.0,0.026,0.05549263873159682,0.15871687587168748,0.027243203380936887
2020-02-17,Cruise Ship,454.0,0.0,0.0,10,454.0,0.0,0.0,0.0,0.0,,,0.2788732394366198
2020-02-17,Japan,66.0,1.0,12.0,16,53.0,100.0,180.0,350.0,0.015,0.0,0.0,0.11864406779661008
2020-02-17,"Korea, South",30.0,0.0,10.0,11,20.0,0.0,0.0,0.0,0.0,,0.11111111111111116,0.034482758620689724
2020-02-17,Malaysia,22.0,0.0,7.0,2,15.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-17,Singapore,77.0,0.0,24.0,13,53.0,0.0,0.0,0.0,0.0,,0.33333333333333326,0.026666666666666616
2020-02-17,Taiwan*,22.0,1.0,2.0,1,19.0,100.0,180.0,350.0,0.045,0.0,0.0,0.10000000000000009
2020-02-17,Thailand,35.0,0.0,15.0,13,20.0,0.0,0.0,0.0,0.0,,0.0714285714285714,0.02941176470588225
2020-02-18,China,74211.0,2003.0,14206.0,27,58002.0,200300.0,360540.0,701050.0,0.027,0.0745708154506437,0.13994543411972393,0.024532678024132393
2020-02-18,Cruise Ship,542.0,0.0,0.0,11,542.0,0.0,0.0,0.0,0.0,,,0.19383259911894268
2020-02-18,Japan,74.0,1.0,13.0,17,60.0,100.0,180.0,350.0,0.014,0.0,0.08333333333333326,0.1212121212121211
2020-02-18,"Korea, South",31.0,0.0,12.0,12,19.0,0.0,0.0,0.0,0.0,,0.19999999999999996,0.03333333333333344
2020-02-18,Malaysia,22.0,0.0,13.0,3,9.0,0.0,0.0,0.0,0.0,,0.8571428571428572,0.0
2020-02-18,Singapore,81.0,0.0,29.0,14,52.0,0.0,0.0,0.0,0.0,,0.20833333333333326,0.051948051948051965
2020-02-18,Taiwan*,22.0,1.0,2.0,2,19.0,100.0,180.0,350.0,0.045,0.0,0.0,0.0
2020-02-18,Thailand,35.0,0.0,15.0,14,20.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-19,China,74619.0,2116.0,15962.0,28,56541.0,211600.0,380880.0,740600.0,0.028,0.05641537693459808,0.12360974236238209,0.005497837247847359
2020-02-19,Cruise Ship,621.0,0.0,1.0,12,620.0,0.0,0.0,0.0,0.0,,inf,0.14575645756457556
2020-02-19,Japan,84.0,1.0,18.0,18,65.0,100.0,180.0,350.0,0.012,0.0,0.3846153846153846,0.1351351351351351
2020-02-19,"Korea, South",31.0,0.0,12.0,13,19.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-19,Malaysia,22.0,0.0,15.0,4,7.0,0.0,0.0,0.0,0.0,,0.15384615384615374,0.0
2020-02-19,Singapore,84.0,0.0,34.0,15,50.0,0.0,0.0,0.0,0.0,,0.17241379310344818,0.03703703703703698
2020-02-19,Taiwan*,23.0,1.0,2.0,3,20.0,100.0,180.0,350.0,0.043,0.0,0.0,0.045454545454545414
2020-02-19,Thailand,35.0,0.0,15.0,15,20.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-20,China,75077.0,2238.0,18014.0,29,54825.0,223800.0,402840.0,783300.0,0.03,0.05765595463137996,0.12855531888234561,0.006137846929066271
2020-02-20,Cruise Ship,634.0,2.0,1.0,13,631.0,200.0,360.0,700.0,0.003,inf,0.0,0.02093397745571668
2020-02-20,Japan,94.0,1.0,18.0,19,75.0,100.0,180.0,350.0,0.011,0.0,0.0,0.11904761904761907
2020-02-20,"Korea, South",104.0,1.0,16.0,14,87.0,100.0,180.0,350.0,0.01,inf,0.33333333333333326,2.3548387096774195
2020-02-20,Malaysia,22.0,0.0,15.0,5,7.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-20,Singapore,84.0,0.0,34.0,16,50.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-20,Taiwan*,24.0,1.0,2.0,4,21.0,100.0,180.0,350.0,0.042,0.0,0.0,0.04347826086956519
2020-02-20,Thailand,35.0,0.0,15.0,16,20.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-21,China,75550.0,2238.0,18704.0,30,54608.0,223800.0,402840.0,783300.0,0.03,0.0,0.03830354168979677,0.0063001984629114105
2020-02-21,Cruise Ship,634.0,2.0,1.0,14,631.0,200.0,360.0,700.0,0.003,0.0,0.0,0.0
2020-02-21,Italy,20.0,1.0,0.0,0,19.0,100.0,180.0,350.0,0.05,,,
2020-02-21,Japan,105.0,1.0,22.0,20,82.0,100.0,180.0,350.0,0.01,0.0,0.22222222222222232,0.11702127659574457
2020-02-21,"Korea, South",204.0,2.0,16.0,15,186.0,200.0,360.0,700.0,0.01,1.0,0.0,0.9615384615384615
2020-02-21,Malaysia,22.0,0.0,15.0,6,7.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-21,Singapore,85.0,0.0,37.0,17,48.0,0.0,0.0,0.0,0.0,,0.08823529411764697,0.011904761904761862
2020-02-21,Taiwan*,26.0,1.0,2.0,5,23.0,100.0,180.0,350.0,0.038,0.0,0.0,0.08333333333333326
2020-02-21,Thailand,35.0,0.0,17.0,17,18.0,0.0,0.0,0.0,0.0,,0.1333333333333333,0.0
2020-02-22,Australia,22.0,0.0,11.0,0,11.0,0.0,0.0,0.0,0.0,,,
2020-02-22,China,77001.0,2443.0,22699.0,31,51859.0,244300.0,439740.0,855050.0,0.032,0.09159964253798036,0.21359067579127466,0.01920582395764403
2020-02-22,Cruise Ship,634.0,2.0,1.0,15,631.0,200.0,360.0,700.0,0.003,0.0,0.0,0.0
2020-02-22,Iran,28.0,5.0,0.0,0,23.0,500.0,900.0,1750.0,0.179,,,
2020-02-22,Italy,62.0,2.0,1.0,1,59.0,200.0,360.0,700.0,0.032,1.0,inf,2.1
2020-02-22,Japan,122.0,1.0,22.0,21,99.0,100.0,180.0,350.0,0.008,0.0,0.0,0.161904761904762
2020-02-22,"Korea, South",433.0,2.0,16.0,16,415.0,200.0,360.0,700.0,0.005,0.0,0.0,1.1225490196078431
2020-02-22,Malaysia,22.0,0.0,15.0,7,7.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-22,Singapore,85.0,0.0,37.0,18,48.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-22,Taiwan*,26.0,1.0,2.0,6,23.0,100.0,180.0,350.0,0.038,0.0,0.0,0.0
2020-02-22,Thailand,35.0,0.0,17.0,18,18.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-23,Australia,22.0,0.0,11.0,1,11.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-23,China,77022.0,2445.0,23187.0,32,51390.0,244500.0,440100.0,855750.0,0.032,0.0008186655751125649,0.021498744438080974,0.0002727237308606245
2020-02-23,Cruise Ship,691.0,3.0,0.0,16,688.0,300.0,540.0,1050.0,0.004,0.5,-1.0,0.08990536277602534
2020-02-23,Iran,43.0,8.0,0.0,1,35.0,800.0,1440.0,2800.0,0.186,0.6000000000000001,,0.5357142857142858
2020-02-23,Italy,155.0,3.0,2.0,2,150.0,300.0,540.0,1050.0,0.019,0.5,1.0,1.5
2020-02-23,Japan,147.0,1.0,22.0,22,124.0,100.0,180.0,350.0,0.007,0.0,0.0,0.20491803278688514
2020-02-23,"Korea, South",602.0,6.0,18.0,17,578.0,600.0,1080.0,2100.0,0.01,2.0,0.125,0.39030023094688215
2020-02-23,Malaysia,22.0,0.0,15.0,8,7.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-23,Singapore,89.0,0.0,51.0,19,38.0,0.0,0.0,0.0,0.0,,0.3783783783783783,0.04705882352941182
2020-02-23,Taiwan*,28.0,1.0,2.0,7,25.0,100.0,180.0,350.0,0.036,0.0,0.0,0.07692307692307687
2020-02-23,Thailand,35.0,0.0,21.0,19,14.0,0.0,0.0,0.0,0.0,,0.23529411764705888,0.0
2020-02-24,Australia,22.0,0.0,11.0,2,11.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-24,China,77241.0,2595.0,25015.0,33,49631.0,259500.0,467100.0,908250.0,0.034,0.06134969325153383,0.07883727951007025,0.0028433434603101215
2020-02-24,Cruise Ship,691.0,3.0,0.0,17,688.0,300.0,540.0,1050.0,0.004,0.0,,0.0
2020-02-24,Iran,61.0,12.0,0.0,2,49.0,1200.0,2160.0,4200.0,0.197,0.5,,0.4186046511627908
2020-02-24,Italy,229.0,7.0,1.0,3,221.0,700.0,1260.0,2450.0,0.031,1.3333333333333335,-0.5,0.4774193548387098
2020-02-24,Japan,159.0,1.0,22.0,23,136.0,100.0,180.0,350.0,0.006,0.0,0.0,0.08163265306122458
2020-02-24,"Korea, South",833.0,8.0,18.0,18,807.0,800.0,1440.0,2800.0,0.01,0.33333333333333326,0.0,0.38372093023255816
2020-02-24,Malaysia,22.0,0.0,18.0,9,4.0,0.0,0.0,0.0,0.0,,0.19999999999999996,0.0
2020-02-24,Singapore,89.0,0.0,51.0,20,38.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-24,Taiwan*,30.0,1.0,5.0,8,24.0,100.0,180.0,350.0,0.033,0.0,1.5,0.0714285714285714
2020-02-24,Thailand,35.0,0.0,21.0,20,14.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-24,US,51.0,0.0,5.0,0,46.0,0.0,0.0,0.0,0.0,,,
2020-02-25,Australia,22.0,0.0,11.0,3,11.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-25,Bahrain,23.0,0.0,0.0,0,23.0,0.0,0.0,0.0,0.0,,,
2020-02-25,China,77754.0,2665.0,27676.0,34,47413.0,266500.0,479700.0,932750.0,0.034,0.026974951830443183,0.10637617429542279,0.006641550471899738
2020-02-25,Cruise Ship,691.0,3.0,0.0,18,688.0,300.0,540.0,1050.0,0.004,0.0,,0.0
2020-02-25,Iran,95.0,16.0,0.0,3,79.0,1600.0,2880.0,5600.0,0.168,0.33333333333333326,,0.5573770491803278
2020-02-25,Italy,322.0,10.0,1.0,4,311.0,1000.0,1800.0,3500.0,0.031,0.4285714285714286,0.0,0.4061135371179039
2020-02-25,Japan,170.0,1.0,22.0,24,147.0,100.0,180.0,350.0,0.006,0.0,0.0,0.0691823899371069
2020-02-25,"Korea, South",977.0,10.0,22.0,19,945.0,1000.0,1800.0,3500.0,0.01,0.25,0.22222222222222232,0.17286914765906358
2020-02-25,Malaysia,22.0,0.0,18.0,10,4.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-25,Singapore,91.0,0.0,53.0,21,38.0,0.0,0.0,0.0,0.0,,0.03921568627450989,0.022471910112359605
2020-02-25,Taiwan*,31.0,1.0,5.0,9,25.0,100.0,180.0,350.0,0.032,0.0,0.0,0.03333333333333344
2020-02-25,Thailand,37.0,0.0,22.0,21,15.0,0.0,0.0,0.0,0.0,,0.04761904761904767,0.05714285714285716
2020-02-25,US,51.0,0.0,6.0,1,45.0,0.0,0.0,0.0,0.0,,0.19999999999999996,0.0
2020-02-26,Australia,22.0,0.0,11.0,4,11.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-26,Bahrain,33.0,0.0,0.0,1,33.0,0.0,0.0,0.0,0.0,,,0.4347826086956521
2020-02-26,China,78166.0,2717.0,30084.0,35,45365.0,271700.0,489060.0,950950.0,0.035,0.019512195121951237,0.08700679288914581,0.005298762764616605
2020-02-26,Cruise Ship,705.0,4.0,10.0,19,691.0,400.0,720.0,1400.0,0.006,0.33333333333333326,inf,0.02026049204052094
2020-02-26,Germany,27.0,0.0,15.0,0,12.0,0.0,0.0,0.0,0.0,,,
2020-02-26,Iran,139.0,19.0,49.0,4,71.0,1900.0,3420.0,6650.0,0.137,0.1875,inf,0.4631578947368422
2020-02-26,Italy,453.0,12.0,3.0,5,438.0,1200.0,2160.0,4200.0,0.026,0.19999999999999996,2.0,0.4068322981366459
2020-02-26,Japan,189.0,2.0,22.0,25,165.0,200.0,360.0,700.0,0.011,1.0,0.0,0.11176470588235299
2020-02-26,"Korea, South",1261.0,12.0,22.0,20,1227.0,1200.0,2160.0,4200.0,0.01,0.19999999999999996,0.0,0.29068577277379726
2020-02-26,Kuwait,26.0,0.0,0.0,0,26.0,0.0,0.0,0.0,0.0,,,
2020-02-26,Malaysia,22.0,0.0,18.0,11,4.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-26,Singapore,93.0,0.0,62.0,22,31.0,0.0,0.0,0.0,0.0,,0.16981132075471694,0.0219780219780219
2020-02-26,Taiwan*,32.0,1.0,5.0,10,26.0,100.0,180.0,350.0,0.031,0.0,0.0,0.032258064516129004
2020-02-26,Thailand,40.0,0.0,22.0,22,18.0,0.0,0.0,0.0,0.0,,0.0,0.08108108108108114
2020-02-26,US,57.0,0.0,6.0,2,51.0,0.0,0.0,0.0,0.0,,0.0,0.11764705882352944
2020-02-27,Australia,23.0,0.0,11.0,5,12.0,0.0,0.0,0.0,0.0,,0.0,0.045454545454545414
2020-02-27,Bahrain,33.0,0.0,0.0,2,33.0,0.0,0.0,0.0,0.0,,,0.0
2020-02-27,China,78600.0,2746.0,32930.0,36,42924.0,274600.0,494280.0,961100.0,0.035,0.010673536989326493,0.09460178167796829,0.005552286160223074
2020-02-27,Cruise Ship,705.0,4.0,10.0,20,691.0,400.0,720.0,1400.0,0.006,0.0,0.0,0.0
2020-02-27,France,38.0,2.0,11.0,0,25.0,200.0,360.0,700.0,0.053,,,
2020-02-27,Germany,46.0,0.0,16.0,1,30.0,0.0,0.0,0.0,0.0,,0.06666666666666665,0.7037037037037037
2020-02-27,Iran,245.0,26.0,49.0,5,170.0,2600.0,4680.0,9100.0,0.106,0.368421052631579,0.0,0.7625899280575539
2020-02-27,Italy,655.0,17.0,45.0,6,593.0,1700.0,3060.0,5950.0,0.026,0.41666666666666674,14.0,0.44591611479028703
2020-02-27,Japan,214.0,4.0,22.0,26,188.0,400.0,720.0,1400.0,0.019,1.0,0.0,0.13227513227513232
2020-02-27,"Korea, South",1766.0,13.0,22.0,21,1731.0,1300.0,2340.0,4550.0,0.007,0.08333333333333326,0.0,0.4004758128469468
2020-02-27,Kuwait,43.0,0.0,0.0,1,43.0,0.0,0.0,0.0,0.0,,,0.6538461538461537
2020-02-27,Malaysia,23.0,0.0,18.0,12,5.0,0.0,0.0,0.0,0.0,,0.0,0.045454545454545414
2020-02-27,Singapore,93.0,0.0,62.0,23,31.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-27,Taiwan*,32.0,1.0,5.0,11,26.0,100.0,180.0,350.0,0.031,0.0,0.0,0.0
2020-02-27,Thailand,40.0,0.0,22.0,23,18.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-27,US,58.0,0.0,6.0,3,52.0,0.0,0.0,0.0,0.0,,0.0,0.01754385964912286
2020-02-28,Australia,23.0,0.0,11.0,6,12.0,0.0,0.0,0.0,0.0,,0.0,0.0
2020-02-28,Bahrain,36.0,0.0,0.0,3,36.0,0.0,0.0,0.0,0.0,,,0.09090909090909083
2020-02-28,China,78928.0,2790.0,36329.0,37,39809.0,279000.0,502200.0,976500.0,0.035,0.016023306627822365,0.1032189492863651,0.004173027989821776
2020-02-28,Cruise Ship,705.0,6.0,10.0,21,689.0,600.0,1080.0,2100.0,0.009,0.5,0.0,0.0
2020-02-28,France,57.0,2.0,11.0,1,44.0,200.0,360.0,700.0,0.035,0.0,0.0,0.5
2020-02-28,Germany,48.0,0.0,16.0,2,32.0,0.0,0.0,0.0,0.0,,0.0,0.04347826086956519
2020-02-28,Iran,388.0,34.0,73.0,6,281.0,3400.0,6120.0,11900.0,0.088,0.3076923076923077,0.48979591836734704,0.583673469387755
2020-02-28,Italy,888.0,21.0,46.0,7,821.0,2100.0,3780.0,7350.0,0.024,0.23529411764705888,0.022222222222222143,0.35572519083969456
2020-02-28,Japan,228.0,4.0,22.0,27,202.0,400.0,720.0,1400.0,0.018,0.0,0.0,0.06542056074766345
2020-02-28,"Korea, South",2337.0,13.0,22.0,22,2302.0,1300.0,2340.0,4550.0,0.006,0.0,0.0,0.32332955832389576
